ID,METRO_AREA,Cities_Included,Bars_Raw,Bars_Rank,Museums_Raw,Museums_Rank,Sports_Raw,Sports_Rank,Annual_Income_Raw,Annual_Income_Rank,Monthly_Income_Raw,Monthly_Income_Rank,Monthly_Rent_Raw,Monthly_Rent_Rank,Rent_Income_Ratio_Raw,Rent_Income_Ratio_Rank,Price_of_Weed_Raw,Price_of_Weed_Rank,Farmers_Markets_Raw,Farmers_Markets_Rank,Pet_Friendly_Raw,Pet_Friendly_Rank,LGBTQ_Friendly_Raw,LGBTQ_Friendly_Rank,Food_Raw,Food_Rank,Music_Rank,Music_Rank,Safety_Raw,Safety_Rank,Shopping_Raw,Shopping_Rank,Fitness_Raw,Fitness_Rank,Parks_Raw,Parks_Rank,Transit_Raw,Transit_Rank,Bike_Raw,Bike_Rank,Walk_Raw,Walk_Rank
19,"St. Louis, MO-IL Metro Area",St. Louis,4.635969842,10,0,0,20,20,32255,25,2687.916667,25,808,9,3.326629538,7,384.74,50,0,0,7,7,0,0,28,28,0,0,109,34,0,0,48.41,20,56,35,45.2,25,56.9,32,59.8,23
30,"Kansas City, MO-KS Metro Area",Kansas City,2.826292596,27,0,0,19,19,33193,15,2766.083333,15,839,12,3.296881208,8,378.59,49,0,0,0,0,0,0,23,23,12,12,108,32,0,0,39.84,56,60,29,28.7,63,40.3,81,32.1,86
22,"Pittsburgh, PA Metro Area",Pittsburgh,6.729144973,2,0,0,7,7,31865,28,2655.416667,28,722,1,3.677862419,1,371.22,48,0,0,0,0,0,0,0,0,21,21,70,18,0,0,54.6,5,61,24,54.4,16,39.9,83,59.8,23
36,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Nashville,1.686589206,44,19,19,0,0,30861,38,2571.75,38,855,16,3.007894737,20,371.2,47,1.09,24,0,0,0,0,13,13,1,1,119,37,19,19,33.53,80,46,51,23.1,74,32.8,93,26.5,101
49,"Birmingham-Hoover, AL Metro Area",Birmingham,1.497661344,47,0,0,0,0,30978,36,2581.5,36,797,7,3.23902133,13,369.1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.21,21,0,0,25.3,69,28.6,94,33,82
48,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",Buffalo,6.684477794,3,0,0,0,0,31094,35,2591.166667,35,725,2,3.574022989,2,368.21,45,0,0,0,0,34,34,0,0,0,0,0,0,0,0,47.93,23,50,40,50.4,19,54.5,39,64.9,17
47,"Raleigh, NC Metro Area",Raleigh,1.704065218,43,0,0,0,0,34863,12,2905.25,12,912,20,3.18558114,14,368.21,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.33,53,61,24,22.6,76,40.6,80,28.8,95
37,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",Virginia Beach,1.112602073,50,0,0,0,0,31674,30,2639.5,30,1082,39,2.439463956,43,367.63,43,0,0,0,0,0,0,0,0,0,0,98,27,0,0,45.25,30,61,24,35.8,39,45.9,62,43.5,46
43,"Louisville/Jefferson County, KY-IN Metro Area",Louisville,2.245599489,34,0,0,0,0,30474,41,2539.5,41,735,3,3.455102041,5,362.88,42,1.96,11,0,0,0,0,16,16,9,9,0,0,0,0,36.82,69,32.5,72,28.5,64,42.6,73,31.2,90
1,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",New York City,3.519475488,19,5,5,4,4,38170,8,3180.833333,8,1246,45,2.552835741,41,362.86,41,1.86,13,8,8,2,2,2,2,7,7,55,8,22,22,30.22,93,76.5,5,84.1,1,66.3,15,87.6,1
